Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Austin Seibert,DET,25,K,6,0,0,0,0,0,4,4,6,5,2,1,12,10,52,83.3%,5,5,100.0%,26,1324,5,19.2%,50.9
Brandon McManus,DEN,30,K,17,0,0,0,8,7,6,6,8,8,9,5,31,26,61,83.9%,34,33,97.1%,78,4975,62,79.5%,63.8
Brett Maher,NOR,32,K,8,0,0,0,4,4,9,8,4,4,1,0,18,16,42,88.9%,12,10,83.3%,37,2245,18,48.6%,60.7
Cairo Santos,CHI,30,K,17,0,0,0,10,10,5,5,13,11,2,0,30,26,47,86.7%,28,27,96.4%,71,4443,34,47.9%,62.6
Chase McLaughlin,CLE,25,K,16,0,0,0,3,3,4,4,10,4,4,4,21,15,57,71.4%,37,36,97.3%,69,4347,31,44.9%,63.0
Chris Boswell,PIT,30,K,17,0,0,0,9,9,9,8,13,11,9,8,40,36,56,90.0%,29,27,93.1%,86,5464,40,46.5%,63.5
Daniel Carlson,LVR,26,K,17,0,0,0,11,10,12,12,13,12,7,6,43,40,56,93.0%,33,30,90.9%,87,5560,53,60.9%,63.9
Dominik Eberle,HOU,25,K,1,0,0,0,1,1,0,0,0,0,2,1,3,2,51,66.7%,5,5,100.0%,8,504,3,37.5%,63.0
Dustin Hopkins,2TM,31,K,17,0,1,1,8,8,6,6,14,13,5,2,34,30,50,88.2%,44,40,90.9%,100,6298,71,71.0%,63.0
Eddy Pineiro,NYJ,26,K,5,0,0,0,2,2,2,2,3,3,1,1,8,8,51,100.0%,10,9,90.0%,0,0,0,0,0
Evan McPherson,CIN,22,K,16,0,0,0,5,5,8,8,9,6,11,9,33,28,58,84.8%,48,46,95.8%,91,5814,55,60.4%,63.9
Graham Gano,NYG,34,K,17,0,0,0,5,5,13,12,5,5,10,7,33,29,55,87.9%,17,17,100.0%,63,3901,26,41.3%,61.9
